Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,486.2075028,519.6135937,543.3057648,569.5910978,589.995686,611.695099,617.0097901,636.2384726,671.806786,705.1474294,728.9399855,738.7570348,741.1176879,776.8300961,793.7825617,803.7633631,797.3120917,805.6252687,804.3083388,791.1228178,769.859816,733.3516811,728.1864123,730.0752309,741.6428918,819.860432,829.8259762,791.4469962,769.7954737,780.702624,743.916044,769.0808541,774.3341662,777.6720907,780.8510523,789.4878405,796.9019357,760.5768971,723.9149031,740.4176551,740.7416057,703.9084009,698.3699142,686.7280572,,,,,,,
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,73.73762292,80.76302528,88.22862199,89.44832683,97.19701351,102.9815711,110.4750331,106.5715014,113.9791523,120.4908456,113.2506181,130.9968646,111.3071332,89.63897175,110.4266558,125.8514236,129.2023101,129.9426355,134.3562762,129.8898507,131.241691,133.5249934,137.1290951,131.8562012,133.2788806,131.0340313,132.8614595,119.7337133,126.0822075,116.7087977,119.0511327,133.754417,123.896644,138.893764,145.3250506,144.9849866,158.4197378,154.5007324,152.7784232,165.0656209,175.1125463,185.5158142,181.1288747,186.1990097,,,,,,,
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,92.03410095,100.4966422,113.5859405,136.3577946,139.3793901,60.30526277,58.27061831,56.34870168,58.57451473,60.66207985,58.56157495,60.31517359,63.2672365,52.21141337,60.63043811,58.52647393,56.78603928,55.20393789,53.60205832,53.17180358,54.45386488,53.48666282,52.00747317,50.65258525,49.26424531,51.10854859,69.32690102,73.30920076,71.91083863,75.26465988,82.61657065,86.01883921,95.85311396,87.53534066,109.2952187,144.7153225,133.2672578,172.3848981,189.2577043,206.4544017,207.0133514,219.2534827,280.2144821,312.2288945,,,,,,,
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,532.0284315,568.4032016,593.4467457,591.0326434,739.3450933,908.6745473,1067.814156,1098.483166,1065.767398,1142.965355,1123.968106,1096.873229,1070.690164,1018.100288,796.3539738,1420.614795,1161.951677,1005.93953,1021.3935,552.2521848,418.453589,453.6440739,536.3638251,596.4079593,663.7839954,904.3466403,694.6648028,734.8499135,1414.703784,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,,,,,,,
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,197.0081816,211.7699692,231.2071455,255.7590004,283.2638543,326.4385521,370.4760023,428.029528,516.4089218,578.6681722,625.8389223,715.7938262,771.9639408,858.0502418,884.9559365,962.7319614,1001.085659,1037.706249,1057.68499,1073.998529,1038.844146,1072.085893,1126.182662,1153.111708,1259.995033,1297.722061,1341.63851,1434.267461,1485.891883,1518.760327,1581.590402,1650.068165,1720.814261,1767.785668,1842.769081,1943.067343,1998.315203,2065.102645,2123.652249,2301.342047,2337.7279,2377.250571,2433.627913,2508.462284,,,,,,,
United Arab Emirates,ARE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,681.171904,1314.326461,1700.348432,1876.108391,2321.742857,2829.481789,3737.011234,4190.315237,4982.012381,5752.780511,6118.901844,7117.003887,7677.110391,7905.901992,8169.584201,8239.156076,8282.220191,8482.12859,8232.715759,8500.703059,8151.112015,8284.41048,9099.296638,9414.320314,9402.927168,9512.740826,9925.65213,11232.34848,12219.0309,12314.03158,12133.62796,12502.69851,12366.07038,11958.97239,12279.9202,11693.3941,11451.89878,11294.18973,10618.80665,10609.944,10287.0553,10416.01261,10724.50388,11088.34186,,,,,,,
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,874.4592442,925.3170343,962.2662406,993.2329379,1011.993648,1032.48922,1081.751268,1093.416916,1217.172437,1243.631287,1197.592788,1208.666223,1259.173614,1300.799469,1288.874568,1330.370627,1413.847451,1452.306312,1320.356449,1303.978019,1347.592046,1410.377544,1496.904499,1576.767198,1648.895228,1728.120928,1848.001531,1967.254881,2033.771811,2088.80763,2120.580398,2014.476878,2180.326931,2293.309488,2408.432958,2374.097592,2455.656081,2772.843291,2730.123367,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071,,,,,,,
Armenia,ARM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722.5985,2689.680533,1962.635282,1195.024488,1045.478466,1050.243539,1219.930604,1509.057698,1308.589371,1307.534428,1297.564469,1269.222726,1236.331467,1320.437994,1440.32339,1521.50331,1639.79257,1773.161496,1669.409464,1661.303268,1726.262758,1807.034572,1892.006869,1931.258117,1961.610395,,,,,,,
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1825.62565,1947.152533,2012.660585,2211.689498,2417.211427,2625.219529,2765.084542,2969.48894,3102.006828,3329.609394,3609.978412,3751.642576,3880.928891,4230.343797,4578.882169,4781.616641,4901.589111,5251.197858,5416.283605,5665.977677,5915.260005,6153.346285,6391.290025,6366.126619,6699.562532,7007.61518,7309.094541,7525.685721,7800.534714,8129.103625,8527.228085,8522.159222,8550.328665,8701.760344,8812.489499,8994.35591,9108.29556,9291.083869,9783.442895,10036.45778,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898,,,,,,,
Austria,AUT,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1814.676017,1882.223711,2006.770396,2124.359184,2232.896504,2305.357708,2375.012735,2448.692544,2608.624238,2814.654642,3019.116159,3213.126836,3404.469208,3620.56204,3769.029711,3734.445473,4068.190905,4137.714163,4335.053929,4541.537932,4684.45776,4697.365866,4730.570071,4827.484062,5070.995793,5280.77716,5321.412974,5536.144154,5716.834247,5896.135568,6111.47652,6347.220096,6227.498049,6137.269463,6205.804904,6344.393087,6607.222977,6620.447862,6706.708677,6972.189816,7076.269483,7333.231953,7427.656445,7695.080037,7808.157792,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154,8425.167753,8548.882199,8509.61158,8355.841952,,,,,,,
Azerbaijan,AZE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569.823838,2631.028839,2276.061528,2119.736351,1961.943251,1952.022486,1852.891923,1813.670143,1936.939214,2022.485985,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918,,,,,,,
Burundi,BDI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1576.338815,1627.51357,1753.143892,1880.993824,2062.994976,2163.960334,2255.188418,2357.58493,2596.177718,2830.593969,3031.521046,3217.045264,3612.355533,3941.603741,4134.390881,3887.477425,4247.40638,4404.824321,4623.389685,4906.085081,4893.885351,4910.953281,4904.070015,5043.975356,5285.543762,5502.668409,5617.419822,5876.962998,6057.062732,6205.76377,6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623,8028.798731,7988.524644,7989.671853,7709.123078,,,,,,,
Benin,BEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,10.75061102,11.8282421,18.62747019,16.94163888,18.06951987,19.41939591,21.26144441,46.25513595,24.87205401,27.70931902,31.93611938,17.56745713,36.63420744,32.47675687,33.42291297,31.10452391,30.8692199,36.16641172,33.81728707,34.95036345,36.70262099,38.8236254,39.1179553,39.37548727,41.8250487,44.46798568,47.91739233,44.82035153,51.91997361,58.11289515,61.46908571,68.26219261,64.62288161,70.32255342,73.78896831,75.08920951,79.71812428,86.35245946,87.87313802,95.44252175,91.53531895,93.12121978,96.7555505,100.2251518,,,,,,,
Burkina Faso,BFA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,10.83446186,10.65654749,15.40564581,17.13648418,17.28362747,17.59885568,18.60785655,21.88203152,21.4242302,19.11111996,22.83302822,25.83039354,29.45120347,32.42606368,33.50440669,37.93423444,39.39536261,42.51100077,50.58816136,49.78096907,50.41708442,60.4072607,67.18583538,71.07650003,78.23222403,81.93800239,83.74627314,88.8143929,97.16457802,104.6077366,115.144505,122.9863866,129.3923379,165.308346,176.0773264,196.9399144,206.104875,207.526929,226.0479448,247.2633775,265.6405673,283.4660589,301.967618,320.2099233,,,,,,,
Bulgaria,BGR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,2292.653983,2486.06609,2683.109679,2842.231221,3035.636188,3247.551349,3437.797692,3648.387027,3772.289411,3973.690788,4125.353429,4397.890565,4582.125337,4772.2946,4678.285823,4646.260939,4838.620325,4940.518487,4963.178886,4758.731903,4361.144516,3735.525454,3807.696906,3825.386616,4211.125131,4350.443259,3970.131139,3932.401784,3613.367267,3673.606871,3859.090025,3853.819004,3997.902596,3971.822736,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458,,,,,,,
Bahrain,BHR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,1951.786338,1963.770614,2087.447344,2282.579354,2626.247468,3171.850881,3661.324212,3746.893047,4299.833141,4612.430779,4848.711643,5205.297018,5589.59367,15305.73406,15926.45222,16450.66186,14702.18116,15363.35066,15402.81158,15621.25071,14214.47656,18498.05575,21644.42422,20477.08292,20553.55882,20597.55193,21105.11037,21251.52966,20638.13743,20014.74549,20130.4566,20016.59548,19775.06331,18983.04023,21325.8176,21508.24845,20592.24422,18491.08909,17459.65445,18038.23787,17912.56602,17849.25789,18693.12388,19596.9831,,,,,,,
"Bahamas, The",BHS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2937.656354,2106.048538,1111.328154,707.7819237,893.935187,959.2460164,1126.33583,1384.610031,1774.611725,1834.451627,2030.296632,2068.425254,2092.095285,2233.546038,2321.878203,2389.696314,2384.593281,2382.539982,2986.473237,2891.637859,3155.598279,3343.737103,3479.083887,3474.286385,3446.764688,,,,,,,
