Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1963/7/1,-0.67,0.01,-0.35,0.03,0.11,0.012
1963/7/2,0.79,-0.31,0.24,-0.08,-0.25,0.012
1963/7/3,0.63,-0.16,-0.09,0.13,-0.24,0.012
1963/7/5,0.4,0.09,-0.26,0.07,-0.28,0.012
1963/7/8,-0.63,0.07,-0.19,-0.27,0.06,0.012
1963/7/9,0.45,0.01,0.08,0.15,0.01,0.012
1963/7/10,-0.18,0.2,0.01,0.05,-0.09,0.012
1963/7/11,-0.16,0.12,-0.29,-0.03,0.07,0.012
1963/7/12,-0.12,0.01,-0.08,0.09,0.07,0.012
1963/7/15,-0.62,0.07,-0.02,0.15,-0.1,0.012
1963/7/16,-0.07,-0.07,0.11,-0.04,-0.12,0.012
1963/7/17,-0.33,-0.08,0.14,0.04,0.07,0.012
1963/7/18,-0.54,0.25,0.07,-0.07,0.2,0.012
1963/7/19,-0.23,-0.03,-0.05,0.16,-0.35,0.012
1963/7/22,-0.7,-0.11,-0.33,0.03,-0.15,0.012
1963/7/23,0.01,-0.1,-0.19,0.03,-0.08,0.012
1963/7/24,0.46,-0.11,-0.04,-0.12,-0.24,0.012
1963/7/25,-0.04,0.14,0.26,-0.15,0.12,0.012
1963/7/26,0.35,-0.14,0.08,0,-0.15,0.012
1963/7/29,0.11,-0.18,0.25,0.03,-0.03,0.012
1963/7/30,0.84,-0.28,-0.25,0.48,-0.31,0.012
1963/7/31,-0.13,0.11,-0.01,-0.13,0.3,0.012
1963/8/1,-0.08,-0.13,-0.13,0.13,-0.08,0.011
1963/8/2,0.29,-0.15,0.16,-0.05,0.03,0.011
1963/8/5,0.57,-0.42,0.16,0.01,0.08,0.011
1963/8/6,0.6,-0.35,0.26,-0.02,-0.02,0.011
1963/8/7,-0.19,0.02,0.16,-0.16,0.14,0.011
1963/8/8,0.14,-0.02,-0.24,0.25,-0.22,0.011
1963/8/9,0.6,-0.11,-0.05,0.15,-0.03,0.011
1963/8/12,0.24,0.2,0.43,-0.09,0.35,0.011
1963/8/13,0.27,-0.23,0.01,0.05,-0.04,0.011
1963/8/14,0.3,-0.05,0.22,-0.19,0.08,0.011
1963/8/15,0.43,-0.27,0.37,-0.16,0.02,0.011
1963/8/16,0.15,0.08,0.09,0.09,-0.18,0.011
1963/8/19,-0.05,-0.01,-0.1,-0.08,0,0.011
1963/8/20,-0.05,0.02,-0.24,0.03,0.1,0.011
1963/8/21,-0.11,0.34,-0.11,-0.05,0.09,0.011
1963/8/22,0.39,0.08,0.1,-0.12,-0.27,0.011
1963/8/23,0.34,-0.01,0.09,0.04,-0.02,0.011
1963/8/26,0.18,-0.11,0.14,0.09,-0.23,0.011
1963/8/27,-0.44,0.08,-0.06,0.04,0.1,0.011
1963/8/28,0.77,0.08,0.42,0.06,0.22,0.011
1963/8/29,0.18,0.12,0,0.1,0.05,0.011
1963/8/30,0.44,0.14,-0.13,0.15,-0.2,0.011
1963/9/3,0.23,0.07,0.05,-0.01,0.17,0.014
1963/9/4,-0.01,0.05,-0.07,-0.35,0,0.014
1963/9/5,0.47,-0.09,0.13,-0.09,-0.01,0.014
1963/9/6,-0.27,-0.16,0,0.14,0.03,0.014
1963/9/9,-0.36,-0.24,-0.04,0.09,0.11,0.014
1963/9/10,0.52,-0.13,0.42,-0.01,-0.17,0.014
1963/9/11,0.24,-0.24,0.21,-0.13,0.36,0.014
1963/9/12,-0.09,0.11,-0.12,-0.17,-0.22,0.014
1963/9/13,0.02,0.36,-0.18,-0.28,0.09,0.014
1963/9/16,-0.16,0.07,0.17,-0.05,-0.2,0.014
1963/9/17,0.03,-0.16,0.16,0.07,-0.03,0.014
1963/9/18,-0.43,0.1,-0.25,-0.1,-0.15,0.014
1963/9/19,0.52,-0.4,0.16,0.14,-0.01,0.014
1963/9/20,0.04,-0.05,0,0.08,-0.37,0.014
1963/9/23,-0.5,-0.09,-0.2,0.12,0.14,0.014
1963/9/24,0.35,-0.32,0.12,-0.04,0.09,0.014
1963/9/25,-0.58,-0.25,-0.1,-0.37,0.04,0.014
1963/9/26,-0.81,0.46,-0.35,-0.06,0.21,0.014
1963/9/27,-0.18,0.27,-0.22,0.19,0.07,0.014
1963/9/30,-0.6,0.21,0.09,0.24,0.12,0.014
1963/10/1,0.65,-0.22,0.24,-0.06,-0.22,0.013
1963/10/2,0.1,-0.15,-0.01,0.01,-0.04,0.013
1963/10/3,0.67,-0.25,0.85,-0.36,0.19,0.013
1963/10/4,0,-0.01,0.06,-0.02,0.12,0.013
1963/10/7,-0.23,0.17,-0.02,-0.19,-0.02,0.013
1963/10/8,-0.14,0.17,0.27,0,-0.12,0.013
1963/10/9,-0.61,0.16,-0.06,-0.02,0.18,0.013
1963/10/10,0.08,-0.01,0.14,0.08,0.01,0.013
1963/10/11,0.13,0.34,0.08,-0.01,0.09,0.013
1963/10/14,0.05,-0.04,0.08,0.1,-0.15,0.013
1963/10/15,0.17,-0.27,0.14,0.07,-0.01,0.013
1963/10/16,0.89,-0.32,0.29,0.11,-0.44,0.013
1963/10/17,0.14,0.09,-0.25,0.22,0.16,0.013
1963/10/18,0.09,0.13,-0.23,0.19,-0.13,0.013
1963/10/21,0.03,-0.25,-0.33,0.54,0.14,0.013
1963/10/22,-0.54,0.34,-0.46,0.32,-0.37,0.013
1963/10/23,0.03,-0.11,-0.06,0.08,-0.04,0.013
1963/10/24,0.35,-0.08,0.46,0.09,-0.07,0.013
1963/10/25,0.85,-0.41,-0.86,0.6,-0.85,0.013
1963/10/28,0.41,-0.76,-0.28,0.66,-0.49,0.013
1963/10/29,-0.04,-0.24,-0.07,0.25,0.36,0.013
1963/10/30,-0.79,0.45,-0.07,-0.21,0.4,0.013
1963/10/31,0.21,-0.03,0.08,0.1,-0.27,0.013
1963/11/1,-0.18,0.26,0.2,-0.22,0.15,0.015
1963/11/4,-0.43,0.05,0.37,-0.21,0.26,0.015
1963/11/6,-0.77,0.11,0.23,-0.13,0.48,0.015
1963/11/7,0.33,0.04,-0.05,-0.11,-0.23,0.015
1963/11/8,0.54,0,0.11,0.08,-0.06,0.015
1963/11/11,0.2,0.24,0.14,0.13,-0.05,0.015
