Date,Mkt-RF,SMB,HML,RF
1926/7/1,0.1,-0.23,-0.28,0.009
1926/7/2,0.45,-0.34,-0.03,0.009
1926/7/6,0.17,0.29,-0.38,0.009
1926/7/7,0.09,-0.59,0,0.009
1926/7/8,0.21,-0.38,0.18,0.009
1926/7/9,-0.71,0.44,0.58,0.009
1926/7/10,0.62,-0.52,-0.13,0.009
1926/7/12,0.04,0.03,0.57,0.009
1926/7/13,0.48,-0.25,-0.25,0.009
1926/7/14,0.04,0.12,-0.51,0.009
1926/7/15,-0.43,0.49,-0.24,0.009
1926/7/16,0.53,0,-0.56,0.009
1926/7/17,0.34,0.46,-0.65,0.009
1926/7/19,-0.01,-0.03,-0.43,0.009
1926/7/20,-0.57,-0.25,0.19,0.009
1926/7/21,-0.6,0.21,0.28,0.009
1926/7/22,-0.73,-0.32,-0.13,0.009
1926/7/23,-0.02,0.09,0.04,0.009
1926/7/24,-0.14,0.44,-0.06,0.009
1926/7/26,0.53,-0.34,-0.29,0.009
1926/7/27,0.43,-0.45,0.26,0.009
1926/7/28,1.09,0.05,-0.29,0.009
1926/7/29,0.36,-0.64,-0.98,0.009
1926/7/30,0.14,-0.46,0.54,0.009
1926/7/31,0.46,-0.14,-0.14,0.009
1926/8/2,0.84,-0.24,0,0.01
1926/8/3,0.47,-0.24,-0.65,0.01
1926/8/4,-0.36,0.13,0.3,0.01
1926/8/5,-0.09,0.02,0.73,0.01
1926/8/6,0.68,0.07,0.17,0.01
1926/8/7,0.46,0.09,-0.26,0.01
1926/8/9,0.21,-0.08,-0.23,0.01
1926/8/10,-1.4,0.36,0.2,0.01
1926/8/11,-0.57,0.18,0.35,0.01
1926/8/12,0.84,-0.78,0.42,0.01
1926/8/13,0.58,-0.88,0.24,0.01
1926/8/14,0.69,0.11,-0.42,0.01
1926/8/16,0.07,0.2,0.71,0.01
1926/8/17,-0.95,0.34,0.19,0.01
1926/8/18,0.26,0.1,0.04,0.01
1926/8/19,-0.6,0.11,0.1,0.01
1926/8/20,-0.2,-0.35,0.42,0.01
1926/8/21,0.32,-0.07,0.51,0.01
1926/8/23,0.49,-0.43,0.54,0.01
1926/8/24,-0.84,0.49,-0.08,0.01
1926/8/25,-0.32,-0.4,0.26,0.01
1926/8/26,0.53,0.07,0.52,0.01
1926/8/27,0.35,0.14,-0.4,0.01
1926/8/28,0.34,0.16,-0.06,0.01
1926/8/30,0.3,0.01,0.4,0.01
1926/8/31,0.58,-0.52,-0.03,0.01
1926/9/1,0.55,0.51,-0.06,0.009
1926/9/2,-0.06,-0.06,0.22,0.009
1926/9/3,0.5,-0.32,0.04,0.009
1926/9/7,0.59,-0.27,-0.22,0.009
1926/9/8,-0.51,-0.07,0.06,0.009
1926/9/9,-0.07,0.15,0.26,0.009
1926/9/10,-0.83,0.07,-0.11,0.009
1926/9/11,-0.44,0.32,0.13,0.009
1926/9/13,-0.03,-0.08,0.49,0.009
1926/9/14,0.9,-0.6,0.1,0.009
1926/9/15,-0.21,0.38,-0.17,0.009
1926/9/16,-0.18,-0.31,0.08,0.009
1926/9/17,-1.01,-0.19,-0.26,0.009
1926/9/18,0.7,-0.29,-0.14,0.009
1926/9/20,-0.64,0.05,0.01,0.009
1926/9/21,0.3,-0.39,0.14,0.009
1926/9/22,-0.13,0,0.01,0.009
1926/9/23,0.26,-0.14,0.06,0.009
1926/9/24,0.62,-0.21,-0.02,0.009
1926/9/25,0.21,0.02,-0.56,0.009
1926/9/27,-0.12,0.12,0.41,0.009
1926/9/28,0,-0.01,-0.34,0.009
1926/9/29,-0.3,0.18,-0.14,0.009
1926/9/30,0.3,-0.2,0.04,0.009
1926/10/1,0.73,-0.25,-0.21,0.013
1926/10/2,-0.1,-0.05,-0.04,0.013
1926/10/4,-1.4,-0.15,-0.04,0.013
1926/10/5,-1.1,0.42,-0.71,0.013
1926/10/6,-0.56,-0.74,-0.23,0.013
1926/10/7,-0.77,0.4,0.24,0.013
1926/10/8,0.59,-0.39,0.63,0.013
1926/10/9,-0.96,0.45,-0.1,0.013
1926/10/11,-0.69,-0.1,-0.14,0.013
1926/10/13,0.69,-0.31,-0.05,0.013
1926/10/14,0.97,-0.47,1.09,0.013
1926/10/15,-1.83,0.12,-0.28,0.013
1926/10/16,-0.73,-0.31,0.42,0.013
1926/10/18,0.7,-0.19,0.42,0.013
